frame,player_id,x,y,
0,0,708.000000,592.000000,
0,1,751.000000,449.000000,
0,2,156.500000,419.000000,
1,3,709.000000,592.000000,
2,4,709.500000,592.000000,
3,5,710.500000,592.000000,
3,6,156.500000,419.000000,
4,7,710.500000,591.000000,
4,8,1046.000000,446.000000,
4,9,942.500000,500.000000,
5,10,711.500000,591.000000,
5,11,942.500000,500.000000,
6,12,712.000000,591.000000,
6,13,942.500000,501.000000,
6,14,1237.500000,472.000000,
7,15,712.500000,591.000000,
7,16,943.500000,500.000000,
8,17,713.500000,591.000000,
8,18,943.500000,499.000000,
9,19,714.500000,591.000000,
9,20,944.000000,500.000000,
9,21,158.000000,417.000000,
10,22,714.000000,591.000000,
10,23,159.000000,416.000000,
10,24,944.000000,502.000000,
10,25,1669.500000,638.000000,
11,26,715.000000,592.000000,
11,27,944.000000,503.000000,
11,28,159.000000,416.000000,
12,29,716.500000,596.000000,
12,30,159.000000,416.000000,
12,31,944.500000,504.000000,
13,32,159.000000,416.000000,
13,33,944.500000,504.000000,
13,34,717.500000,599.000000,
14,35,159.500000,416.000000,
14,36,944.500000,504.000000,
15,37,720.000000,594.000000,
15,38,159.500000,416.000000,
16,39,721.000000,597.000000,
16,40,160.500000,417.000000,
17,41,722.500000,595.000000,
17,42,1230.500000,471.000000,
17,43,160.500000,417.000000,
17,44,1037.000000,452.000000,
17,45,743.000000,439.000000,
18,46,723.000000,592.000000,
19,47,724.500000,593.000000,
20,48,725.500000,596.000000,
21,49,725.500000,593.000000,
22,50,727.500000,593.000000,
22,51,741.000000,436.000000,
23,52,729.000000,594.000000,
24,53,730.500000,592.000000,
25,54,731.500000,593.000000,
26,55,732.000000,592.000000,
27,56,733.500000,593.000000,
28,57,734.500000,593.000000,
29,58,736.500000,592.000000,
30,59,737.500000,593.000000,
30,60,951.000000,508.000000,
31,61,738.500000,599.000000,
31,62,951.000000,509.000000,
31,63,731.500000,436.000000,
32,64,738.000000,600.000000,
32,65,731.000000,436.000000,
32,66,167.000000,417.000000,
33,67,739.000000,600.000000,
33,68,167.500000,417.000000,
33,69,1216.500000,471.000000,
34,70,740.500000,601.000000,
34,71,1215.500000,470.000000,
34,72,167.500000,418.000000,
35,73,741.000000,601.000000,
35,74,168.000000,417.000000,
35,75,1215.000000,473.000000,
36,76,742.500000,602.000000,
36,77,1214.000000,473.000000,
36,78,168.500000,417.000000,
36,79,729.000000,435.000000,
36,80,951.000000,502.000000,
37,81,743.000000,601.000000,
37,82,1212.500000,471.000000,
37,83,168.500000,417.000000,
37,84,728.000000,435.000000,
38,85,1211.500000,473.000000,
38,86,745.500000,600.000000,
38,87,168.500000,416.000000,
38,88,727.500000,434.000000,
39,89,747.000000,600.000000,
39,90,1210.500000,475.000000,
39,91,688.500000,631.000000,
39,92,169.500000,417.000000,
40,93,748.500000,598.000000,
40,94,1209.500000,473.000000,
40,95,773.000000,447.000000,
40,96,170.000000,417.000000,
41,97,751.000000,602.000000,
41,98,170.000000,417.000000,
41,99,773.000000,447.000000,
42,100,751.000000,601.000000,
42,101,773.000000,446.000000,
42,102,171.000000,417.000000,
43,103,752.000000,602.000000,
43,104,171.500000,418.000000,
43,105,773.500000,446.000000,
43,106,567.500000,442.000000,
44,107,753.500000,591.000000,
44,108,173.500000,417.000000,
44,109,774.000000,447.000000,
45,110,755.500000,593.000000,
45,111,174.000000,418.000000,
45,112,774.000000,447.000000,
46,113,757.000000,604.000000,
46,114,175.000000,418.000000,
46,115,774.000000,446.000000,
47,116,758.000000,606.000000,
47,117,175.500000,417.000000,
48,118,759.500000,604.000000,
48,119,177.500000,417.000000,
49,120,759.500000,605.000000,
49,121,177.500000,417.000000,
50,122,760.500000,606.000000,
50,123,178.000000,417.000000,
50,124,1261.500000,446.000000,
51,125,762.500000,605.000000,
51,126,177.000000,417.000000,
52,127,763.000000,606.000000,
52,128,1192.500000,482.000000,
53,129,763.000000,605.000000,
53,130,178.500000,417.000000,
54,131,179.000000,417.000000,
54,132,763.500000,604.000000,
54,133,949.500000,497.000000,
55,134,180.000000,416.000000,
55,135,1257.000000,451.000000,
56,136,181.000000,416.000000,
56,137,766.000000,606.000000,
56,138,553.000000,446.000000,
57,139,181.000000,416.000000,
57,140,551.000000,446.000000,
57,141,685.000000,631.000000,
58,142,181.000000,416.000000,
58,143,769.500000,609.000000,
58,144,550.000000,446.000000,
58,145,685.000000,631.000000,
59,146,181.000000,416.000000,
59,147,550.000000,446.000000,
59,148,685.000000,632.000000,
59,149,770.500000,608.000000,
60,150,182.000000,417.000000,
60,151,771.000000,606.000000,
60,152,548.500000,445.000000,
60,153,685.000000,632.000000,
61,154,182.500000,416.000000,
61,155,771.500000,604.000000,
61,156,685.000000,633.000000,
61,157,547.500000,446.000000,
62,158,773.000000,605.000000,
62,159,182.500000,416.000000,
62,160,545.000000,445.000000,
